,Player_Id,Player_Name,Total_Score,Avg_Score
0,1,SC Ganguly,1693.78617554,28.7082402633
1,2,BB McCullum,3534.40537342,38.417449711
2,3,RT Ponting,70.2069415841,7.02069415841
3,4,DJ Hussey,2068.51366675,32.3205260429
4,5,Mohammad Hafeez,79.8339303159,9.97924128948
5,6,R Dravid,2785.2875852,31.2953661258
6,7,W Jaffer,186.915673407,23.3644591759
7,8,V Kohli,6617.58078975,47.9534839837
8,9,JH Kallis,4449.26364467,45.4006494354
9,10,CL White,1733.12422725,36.8749835585
10,11,MV Boucher,742.228932752,23.9428687985
11,12,B Akhil,185.5,12.3666666667
12,13,AA Noffke,22.9949527841,22.9949527841
13,14,P Kumar,1863.0,16.4867256637
14,15,Z Khan,2171.0,24.6704545455
15,16,SB Joshi,22.5,5.625
16,17,PA Patel,2782.35140482,27.0131204351
17,18,ML Hayden,1712.17450274,53.5054532107
18,19,MEK Hussey,3015.85856368,51.116246842
19,20,MS Dhoni,6181.76527927,43.5335583047
20,21,SK Raina,6968.40540242,47.7288041262
21,22,JDP Oram,358.5,19.9166666667
22,23,S Badrinath,2174.37742087,23.1316746902
23,24,K Goel,290.612752507,13.2096705685
24,25,JR Hopes,1046.94388321,49.8544706289
25,26,KC Sangakkara,2650.29310782,37.3280719411
26,27,Yuvraj Singh,3563.82556227,32.9983848358
27,28,SM Katich,369.268026665,33.5698206059
28,29,IK Pathan,4090.88106584,40.1066771161
29,30,T Kohli,15.71412469,3.92853117251
30,31,YK Pathan,5034.67488752,37.5722006531
31,32,SR Watson,6483.81902466,68.9767981347
32,33,M Kaif,450.245362532,15.5257021563
33,34,DS Lehmann,14.2461738848,7.12308694238
34,35,RA Jadeja,1962.5,15.7
35,36,M Rawat,286.236451969,15.9020251094
36,37,D Salunkhe,33.5,5.58333333333
37,38,SK Warne,1478.0,26.8727272727
38,39,SK Trivedi,1350.5,17.7697368421
39,40,G Gambhir,5069.47874911,38.4051420387
40,41,V Sehwag,4886.52842591,46.9858502492
41,42,S Dhawan,4447.84846768,39.3614908644
42,43,L Ronchi,54.4758065842,10.8951613168
43,44,ST Jayasuriya,1697.85484093,56.5951613643
44,45,DJ Thornely,83.5,13.9166666667
45,46,RV Uthappa,5472.9852805,40.5406317074
46,47,PR Shah,214.087910066,13.3804943791
47,48,AM Nayar,986.24316365,16.4373860608
48,49,SM Pollock,349.5,26.8846153846
49,50,Harbhajan Singh,2957.0,23.656
50,51,S Chanderpaul,21.0526791852,7.0175597284
51,52,LRPL Taylor,1709.11631993,31.0748421806
52,53,AC Gilchrist,3644.74492679,45.5593115849
53,54,Y Venugopal Rao,1386.12726416,21.3250348333
54,55,VVS Laxman,299.77867756,14.988933878
55,56,A Symonds,2357.72669191,60.4545305618
56,57,RG Sharma,6379.73006057,44.9276764829
57,58,SB Styris,395.908694095,32.9923911746
58,59,SB Bangar,174.0,14.5
59,60,WPUJC Vaas,614.543370989,47.2725669992
60,61,RP Singh,2141.0,26.1097560976
61,62,WP Saha,2627.13233057,29.5183407929
62,63,LR Shukla,597.976560702,12.7229055468
63,64,DPMD Jayawardene,2810.55608937,35.1319511171
64,65,S Sohal,448.273298961,20.3760590437
65,66,B Lee,496.0,13.0526315789
66,67,PP Chawla,2725.0,22.1544715447
67,68,WA Mota,97.565513244,8.130459437
68,69,Kamran Akmal,336.226217612,56.0377029353
69,70,Shahid Afridi,436.785683274,43.6785683274
70,71,DJ Bravo,5359.94521063,51.0470972441
71,72,MA Khote,30.3181839327,7.57954598317
72,73,A Nehra,2282.0,27.8292682927
73,74,GC Smith,919.515696921,31.7074378248
74,75,Pankaj Singh,103.0,6.05882352941
75,76,RR Sarwan,65.8918207638,16.472955191
76,77,S Sreesanth,855.0,19.4318181818
77,78,VRV Singh,368.0,19.3684210526
78,79,SS Tiwary,1861.76567411,23.5666541027
79,80,DS Kulkarni,1754.0,26.5757575758
80,81,R Vinay Kumar,2325.0,23.0198019802
81,82,AB Agarkar,658.5,15.6785714286
82,83,M Kartik,824.5,14.7232142857
83,84,I Sharma,1246.0,17.8
84,85,AM Rahane,3921.73978694,41.2814714415
85,86,Shoaib Malik,77.0,11.0
86,87,MK Tiwary,1944.64875524,24.9313942979
87,88,KD Karthik,4514.8240128,32.7161160348
88,89,R Bhatia,1560.5,16.9619565217
89,90,MF Maharoof,1101.22352732,55.0611763662
90,91,VY Mahesh,502.5,29.5588235294
91,92,TM Srivastava,53.3868808568,7.62669726525
92,93,B Chipli,433.882921786,18.8644748603
93,94,DW Steyn,1810.5,20.1166666667
94,95,DB Das,490.563591434,15.8246319818
95,96,MK Pandey,2748.15522504,30.8781485959
96,97,HH Gibbs,1217.65567228,33.8237686744
97,98,DNT Zoysa,62.6660929432,20.8886976477
98,99,D Kalyankrishna,53.0,17.6666666667
99,100,SE Marsh,3405.89891456,54.9338534606
100,101,SA Asnodkar,533.669349876,26.6834674938
101,102,Sohail Tanvir,708.0,64.3636363636
102,103,Salman Butt,226.076816546,32.296688078
103,104,BJ Hodge,2126.44977299,32.2189359544
104,105,Umar Gul,495.303188182,82.5505313637
105,106,AB Dinda,1503.0,20.04
106,107,SP Fleming,215.167305842,21.5167305842
107,108,S Vidyut,187.04155856,20.7823953956
108,109,JA Morkel,4015.88502667,44.6209447408
109,110,AB de Villiers,6605.95333206,55.5122128744
110,111,LPC Silva,102.472050364,34.1573501212
111,112,DB Ravi Teja,643.591934841,20.1122479638
112,113,Misbah-ul-Haq,155.868919694,19.4836149618
113,114,YV Takawale,419.780922664,26.2363076665
114,115,RR Raje,191.5,19.15
115,116,PJ Sangwan,799.0,24.2121212121
116,117,Mohammad Asif,185.5,23.1875
117,118,GD McGrath,383.0,27.3571428571
118,119,Joginder Sharma,330.5,20.65625
119,120,MS Gony,746.5,17.3604651163
